id_pdv;adresse;ville;latitude;longitude;pop;nom_carbu;id_carbu;maj;prix_carbu
33114001;Avenue du Médoc ZAC Eyrialis;LE BARP;44.623;-0.787;R;Gazole;1;2026-04-08 06:41:00;2.389
33114001;Avenue du Médoc ZAC Eyrialis;LE BARP;44.623;-0.787;R;E10;5;2026-04-03 13:10:04;1.995
33114001;Avenue du Médoc ZAC Eyrialis;LE BARP;44.623;-0.787;R;SP98;6;2026-04-03 13:10:04;2.089
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;Gazole;1;2026-04-09 08:34:00;2.414
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;SP95;2;2026-04-09 08:34:00;2.044
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;E85;3;2026-04-09 08:34:00;0.744
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;GPLc;4;2026-04-09 08:34:00;0.899
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;E10;5;2026-04-09 08:34:00;2.015
38230003;Rue des Ardennes;Tignieu-Jameyzieu;45.745;5.183;R;SP98;6;2026-04-09 08:34:00;2.099
56580001;16 rue chateaubriand;Bréhan;48.061;-2.69;R;Gazole;1;2026-04-04 06:07:33;2.389
56580001;16 rue chateaubriand;Bréhan;48.061;-2.69;R;SP95;2;2026-04-04 06:07:33;2.059
56580001;16 rue chateaubriand;Bréhan;48.061;-2.69;R;SP98;6;2026-04-04 06:07:34;2.099
34150003;Route de Pézenas;GIGNAC;43.651;3.547;R;Gazole;1;2026-04-09 08:30:00;2.371
34150003;Route de Pézenas;GIGNAC;43.651;3.547;R;E85;3;2026-04-04 08:30:00;0.758
34150003;Route de Pézenas;GIGNAC;43.651;3.547;R;E10;5;2026-04-09 08:30:00;1.993
34150003;Route de Pézenas;GIGNAC;43.651;3.547;R;SP98;6;2026-04-09 08:30:00;2.121
6110002;Boulevard Carnot;Le Cannet;43.572;7.016;R;Gazole;1;2026-04-09 08:29:41;2.399
6110002;Boulevard Carnot;Le Cannet;43.572;7.016;R;E10;5;2026-04-09 08:29:41;2.129
6110002;Boulevard Carnot;Le Cannet;43.572;7.016;R;SP98;6;2026-04-09 08:29:41;2.199
